AAPL,FB,GOOGL,AMZN,BAC,WFC,c
188.75,167.85,1191.92,1784.13,27.09,48.94,61.38
188.95,164.57,1175.5,1770.0,27.2,48.73,60.95
189.83,166.39,1180.18,1786.58,27.55,49.8,62.33
191.64,167.83,1187.54,1800.11,27.9,48.43,62.85
191.09,170.14,1200.05,1811.02,28.47,48.57,64.24
193.25,174.5,1212.7,1826.72,29.07,48.47,64.99
194.79,176.02,1211.29,1820.65,28.85,48.95,64.81
196.45,176.88,1219.3,1829.0,29.32,49.26,65.93
196.42,175.21,1211.11,1833.23,28.89,48.64,65.13
200.32,175.62,1201.89,1845.49,29.0,48.68,65.6
198.68,178.18,1205.09,1841.0,28.9,48.08,65.48
200.85,178.24,1208.9,1848.7,29.25,47.97,65.8
199.2,178.0,1215.62,1848.4,29.56,47.75,67.08
198.58,178.5,1224.09,1842.0,30.1,45.87,67.39
199.46,179.0,1230.0,1851.35,29.3,46.88,67.5
199.54,179.6,1237.0,1872.99,29.83,47.96,69.95
203.12,178.8,1245.0,1868.79,29.95,47.44,70.01
202.83,178.25,1236.67,1855.4,29.93,47.41,69.58
204.43,182.74,1256.64,1891.2,29.99,47.2,68.84
207.36,184.49,1270.59,1925.0,29.95,47.06,68.99
206.83,196.98,1270.3,1917.0,29.91,47.17,68.56
204.9,192.5,1273.38,1929.0,30.17,47.52,68.9
204.4,190.95,1280.51,1949.0,30.43,47.97,69.69
203.06,194.19,1190.63,1930.1,30.8,48.35,71.02
209.88,194.78,1197.5,1933.09,30.56,48.32,70.68
209.84,193.0,1172.6,1913.33,30.26,48.35,69.74
210.89,194.38,1177.41,1949.0,30.66,48.5194,70.39
204.29,191.24,1172.0,1917.98,30.11,47.99,69.05
205.88,192.54,1185.81,1939.99,30.16,48.05,69.35
201.9,189.39,1177.29,1918.87,29.73,47.06,67.88
200.4,187.2,1162.6,1900.0,29.42,46.0,66.83
197.419,188.25,1168.84,1898.0,29.46,46.41,67.27
187.71,183.5,1145.24,1836.56,28.96,46.28,66.13
186.41,182.52,1142.32,1839.5,28.36,46.38,64.62
186.27,180.42,1122.55,1827.95,28.1,46.02,64.46
189.91,185.05,1171.84,1885.94,28.46,45.99,65.31
186.93,184.84,1175.83,1893.05,28.25,45.44,64.97
183.52,181.88,1153.0,1852.69,28.4,45.62,64.75
185.22,184.57,1154.48,1874.79,28.57,45.62,65.5
184.66,184.73,1151.25,1851.78,28.51,46.07,65.84
179.8,182.42,1146.07,1836.59,28.13,45.83,63.82
180.2,182.33,1152.0,1835.89,27.93,45.76,64.29
178.92,181.54,1141.48,1832.75,28.05,46.07,64.09
176.42,183.5,1132.7,1823.12,27.53,45.39,63.15
177.95,183.08,1120.15,1825.49,27.77,45.69,64.77
176.23,180.28,1105.64,1790.01,26.5,44.53,62.39
175.6,175.0,1066.93,1760.01,26.59,44.24,62.1
175.44,163.71,1044.49,1699.24,27.18,45.16,63.79
184.28,167.48,1055.0,1749.6,27.84,45.87,65.45
183.08,168.3,1046.21,1737.71,27.76,45.74,65.82
186.51,170.17,1054.28,1763.7,27.75,45.9,66.16
191.81,174.75,1077.0,1822.0,27.86,46.06,66.88
194.86,178.48,1096.99,1883.25,28.38,45.84,67.58
193.95,178.38,1079.95,1853.98,28.2,46.01,67.65
194.7,175.53,1084.71,1866.72,27.97,45.1,66.83
191.545,180.51,1089.74,1864.0,27.91,45.31,67.15
192.9,185.01,1089.1,1876.5,28.01,45.58,67.5
196.05,194.0,1111.5,1901.35,28.02,45.25,66.81
199.68,187.0,1107.24,1907.84,28.7,46.48,68.16
200.37,190.95,1121.7,1933.33,28.59,45.85,68.56
198.8,188.75,1109.86,1916.1,28.19,45.84,68.03
198.54,192.42,1120.0,1912.66,28.08,46.55,67.82
198.43,192.88,1115.08,1911.84,28.02,46.13,67.46
197.77,189.54,1091.0,1892.48,27.94,46.21,67.04
200.29,189.88,1086.75,1902.0,28.08,46.22,67.62
198.68,190.55,1077.23,1909.1,29.01,46.81,69.28
203.17,195.21,1101.04,1922.98,29.48,47.88,70.86
201.41,193.0,1104.83,1919.38,29.34,47.52,70.36
203.28,194.16,1118.5,1935.89,29.19,47.3,70.71
203.35,196.18,1119.37,1928.6,29.36,48.1,71.27
200.81,195.19,1125.87,1934.12,29.01,47.4,70.76
199.2,194.97,1110.32,1947.8,28.97,47.3,70.53
201.85,200.0,1132.32,1996.51,29.17,47.67,71.5
203.31,203.26,1146.16,2025.62,29.1,47.21,71.4298
202.45,199.68,1142.93,2008.27,29.44,47.12,71.89
204.09,204.25,1145.34,2021.4,29.5,47.4,71.73
204.59,203.89,1146.73,2010.58,29.17,46.72,71.7
204.05,204.18,1150.92,2007.05,29.1,45.2,71.19
204.0,200.15,1142.0,1980.01,29.28,45.22,70.54
205.79,202.18,1149.32,1991.21,29.54,45.96,71.73
203.65,199.91,1135.47,1971.14,29.29,45.89,70.72
208.46,202.84,1143.45,1995.99,29.75,46.68,71.33
207.67,197.63,1132.62,1969.3,30.07,47.3,71.66
208.89,206.7,1138.95,2001.0,30.74,48.52,72.96
207.48,200.19,1228.0,1942.0,30.57,48.15,72.15
208.46,199.0,1242.5,1930.0,30.72,49.38,71.91
208.76,195.39,1227.0,1891.12,30.21,48.01,71.03
216.42,196.95,1224.87,1898.11,30.83,48.26,71.4
213.9,194.17,1217.63,1871.72,30.55,48.41,70.67
205.53,191.1,1203.0,1845.0699,29.36,47.11,67.61
197.99,184.69,1172.97,1770.22,28.53,46.5,65.6
196.31,183.69,1165.52,1792.23,28.41,46.61,66.0
195.41,183.6,1157.8,1773.99,27.61,46.07,64.63
200.2,186.62,1186.4301,1806.0,28.11,45.69,65.85
201.3,190.0,1199.995,1828.95,28.27,46.02,66.33
199.62,186.85,1180.0,1795.99,27.83,45.51,64.61
201.02,185.52,1174.35,1783.0,27.57,45.61,63.9
203.16,185.8,1176.07,1793.01,26.94,45.02,62.88
203.46,180.9619,1168.43,1781.99,26.58,44.3,61.98
204.28,183.75,1180.79,1792.89,26.53,43.74,61.93
210.62,186.01,1191.83,1818.08,27.64,45.13,64.82
210.88,185.45,1195.35,1814.5,27.02,45.04,63.72
212.99,185.0,1195.8199,1819.39,26.93,44.96,64.13
213.19,183.43,1193.8,1828.0,27.09,45.33,63.81
209.43,180.84,1185.17,1793.03,26.95,45.2,63.28
205.86,179.4,1159.45,1766.91,26.7,44.71,62.57
207.86,181.93,1183.0,1775.73,26.86,45.23,63.01
204.1,180.53,1164.87,1755.0,26.22,44.64,61.3
208.5,183.77,1186.42,1783.0,27.0,46.0,63.31
210.16,186.78,1200.35,1797.49,27.5,46.54,64.34
206.43,184.0,1181.85,1770.0,27.21,46.31,64.0
208.39,184.65,1179.45,1805.0,27.32,46.54,64.0
212.0,188.53,1193.66,1821.95,27.85,47.31,65.65
214.05,190.21,1209.14,1838.22,28.02,47.58,66.19
214.84,187.73,1207.08,1841.0,28.0,47.32,66.76
213.86,187.44,1196.09,1822.75,28.89,48.07,69.18
218.07,186.46,1203.89,1812.14,29.37,48.29,68.72
224.8,189.86,1223.47,1837.63,29.22,48.52,68.11
220.0,187.325,1232.11,1842.01,30.0,49.01,70.34
217.73,186.93,1230.44,1824.02,29.68,48.46,68.96
219.96,186.66,1231.63,1807.08,29.85,48.7,69.78
221.06,188.09,1230.24,1817.04,29.77,48.63,69.21
222.01,188.66,1232.32,1821.02,30.0,48.99,70.06
221.38,190.66,1233.64,1821.71,29.97,49.07,70.15
218.95,189.34,1226.57,1777.0,29.31,48.32,68.62
221.055,187.98,1240.0,1790.61,29.6,48.98,69.5
218.55,181.45,1216.01,1747.36,28.78,48.73,67.91
220.0,181.33,1242.14,1762.79,29.21,49.25,69.32
220.54,178.16,1242.83,1748.0,29.41,50.36,69.82
220.9,177.87,1220.6,1726.99,29.49,50.77,69.7965
225.07,179.15,1222.49,1746.0,29.44,50.65,69.57
223.06,174.84,1196.5,1727.74,28.2,48.72,67.76
218.43,175.57,1183.34,1713.0,27.76,48.3,66.08
225.64,179.55,1194.29,1726.02,27.85,48.66,66.76
226.27,180.0,1207.0,1731.63,28.33,48.95,67.87
225.82,178.26,1198.77,1722.49,27.87,48.25,67.03
227.03,179.16,1201.33,1719.61,27.83,48.17,67.0
227.93,180.32,1198.6,1725.24,28.04,48.33,67.77
232.95,182.15,1224.03,1742.92,28.99,49.46,69.99
234.9,184.2,1213.89,1728.91,28.74,49.09,69.53
236.39,183.8,1221.5,1742.14,29.34,49.28,70.17
233.37,188.32,1241.81,1773.33,30.37,50.04,70.82
235.09,190.3,1251.4,1796.49,30.3,49.98,70.03
234.59,190.23,1254.69,1787.8,30.13,49.35,69.32
237.52,187.04,1248.7,1769.66,30.67,50.28,70.52
241.16,190.0,1244.48,1788.15,30.97,50.44,71.72
242.1,182.01,1240.21,1761.3,31.13,50.72,71.9
244.51,184.62,1259.11,1771.09,31.45,50.66,72.55
243.16,185.83,1252.0,1697.55,31.36,51.08,71.97
247.42,187.2,1275.0,1748.06,31.97,51.94,73.73
248.97,191.69,1276.0,1774.81,31.94,51.5,73.14
244.76,189.56,1255.15,1759.12,32.01,51.88,72.75
247.24,196.7,1260.0,1775.99,31.41,51.77,72.36
249.54,192.85,1265.8,1788.01,31.7,52.13,72.25
257.33,194.55,1276.11,1801.01,32.24,52.58,74.94
257.05,195.37,1291.2,1809.16,32.51,52.74,75.19
256.77,194.03,1290.09,1801.0,32.76,53.29,74.42
258.74,191.91,1294.28,1803.76,33.11,53.78,75.41
258.69,190.0,1301.52,1787.89,33.07,53.83,75.48
258.3,189.93,1304.0,1778.0,33.03,53.79,75.45
261.55,190.0,1298.57,1774.66,33.13,53.75,75.55
261.13,194.7,1293.18,1773.39,32.72,53.81,74.25
263.75,192.93,1295.0,1751.43,32.69,53.22,73.61
263.68,194.26,1315.05,1760.05,32.92,53.78,74.34
265.8,194.56,1332.34,1738.3,32.86,53.84,74.29
267.9,197.4,1326.63,1756.99,33.12,54.1,74.97
265.54,198.58,1311.36,1749.14,32.79,53.73,74.63
263.69,197.42,1299.25,1743.0,32.78,53.84,74.08
262.59,198.38,1303.0,1739.02,32.96,53.9,74.1
262.71,199.515,1296.26,1753.25,33.33,54.53,74.93
266.94,200.0,1309.91,1779.92,33.38,54.11,75.84
265.58,199.9,1315.42,1801.0,33.49,54.15,75.84
266.6,201.6,1306.6,1817.78,33.37,54.07,75.43
267.27,202.13,1302.56,1804.4,33.45,54.31,75.42
258.31,197.6,1278.66,1760.0,32.87,53.01,73.38
261.07,200.0,1306.1,1774.01,33.08,52.6,73.83
263.79,199.86,1327.0,1763.5,33.16,53.41,74.65
267.48,200.5,1332.75,1751.2,33.68,53.86,75.93
270.0,200.65,1338.86,1750.66,33.5,54.17,75.18
268.6,201.66,1339.94,1747.4,33.4,53.49,75.07
268.81,200.28,1348.3,1741.67,33.48,53.74,76.12
267.78,202.35,1343.21,1750.0,33.78,53.37,75.81
271.46,196.4,1347.9,1765.0,34.69,54.05,77.05
277.0,195.27,1355.0,1767.0,34.95,54.24,77.36
279.57,198.84,1362.41,1778.01,34.85,54.11,77.29
279.8,200.09,1357.0,1795.02,35.11,54.46,77.7
279.5,202.78,1351.91,1780.5,35.15,53.74,78.0
282.23,207.48,1363.1,1799.62,35.24,54.05,78.94
280.53,206.7,1358.73,1788.26,35.04,53.34,78.67
284.69,206.3,1350.21,1793.81,35.19,53.95,78.7
284.82,205.5665,1346.55,1801.01,35.32,54.05,78.75
291.12,208.6697,1364.0,1882.92,35.7,54.29,80.0
289.46,207.86,1356.81,1874.0,35.57,54.17,80.15
289.93,203.995,1335.79,1842.0,35.03,53.53,79.32
296.24,206.75,1348.41,1875.0,35.35,53.85,80.13
297.15,207.2135,1348.0,1864.5,34.98,53.11,79.8
293.79,206.92,1351.63,1860.0,34.41,52.74,78.72
299.84,212.82,1400.46,1904.5,34.7,53.05,79.29
297.16,213.0,1394.82,1898.04,34.57,52.84,78.77
307.235,217.54,1421.93,1909.89,35.3,53.2,80.98
310.6,219.2,1429.47,1905.37,35.0,52.79,80.0
311.64,219.5965,1435.25,1891.31,34.84,52.5,79.5
316.7,221.61,1440.0,1885.88,35.3,50.23,81.2
311.85,220.61,1433.02,1872.25,34.765,48.83,81.73
313.59,222.57,1445.45,1882.99,34.9,48.46,81.96
316.27,222.03,1462.54,1885.89,34.92,49.37,81.16
317.19,222.155,1479.0,1865.0,34.42,49.09,80.48
318.58,222.31,1489.73,1896.09,34.37,49.03,80.2
317.92,220.75,1487.55,1885.11,34.09,48.39,79.58
320.25,220.8,1492.82,1891.37,34.12,48.19,79.62
310.06,213.1,1431.54,1820.0,32.85,46.89,76.26
312.6,216.14,1441.74,1840.5,33.02,47.51,77.21
324.45,221.44,1458.46,1864.0,33.33,47.42,77.54
320.5435,206.53,1438.1,1858.0,32.7,47.17,75.74
320.93,208.43,1467.86,2051.47,33.07,47.42,75.96
304.3,203.44,1461.65,2010.6,33.0,47.24,74.7
315.31,206.6165,1454.49,2029.88,33.56,47.7,76.75
323.52,212.51,1463.61,2071.02,34.1,47.9,77.92
322.57,210.47,1451.98,2041.02,34.94,48.44,79.8
322.37,210.3,1467.38,2041.99,34.32,47.73,78.13
314.18,211.52,1477.23,2085.01,34.44,47.67,78.08
323.6,210.19,1513.27,2150.9,34.85,48.08,78.75
321.47,207.85,1515.86,2163.2,35.08,48.22,79.9
324.19,209.5235,1510.0,2144.99,34.76,47.62,78.89
324.73,214.0,1514.53,2155.68,34.88,48.14,78.89
315.36,213.55,1514.34,2125.02,34.77,47.97,78.61
320.0,217.99,1527.2,2167.8,34.45,47.25,77.87
322.63,216.52,1519.01,2173.07,34.46,47.0,77.66
318.62,213.48,1504.58,2142.15,34.53,47.48,77.56
297.26,201.8,1423.05,2003.18,33.18,46.58,73.38
300.95,202.27,1431.0,2026.42,32.69,46.29,72.63
286.53,197.19,1394.98,1970.28,31.39,45.48,70.02
281.1,191.82,1359.14,1934.38,29.55,43.32,66.1
257.26,182.695,1274.31,1814.63,28.0,41.31,62.0
282.28,194.03,1351.39,1906.49,28.35,40.98,63.85
303.67,196.22,1397.68,1975.37,29.37,42.06,67.86
296.44,189.17,1358.96,1946.57,28.25,41.01,66.05
295.52,186.78,1345.55,1933.0,27.24,40.0,64.8
282.0,178.33,1269.95,1875.0,25.47,37.0,60.46
263.75,169.6,1204.96,1773.86,22.23,33.72,54.31
277.14,174.67,1254.39,1870.88,23.25,34.63,54.73
277.39,174.01,1248.27,1857.85,22.84,34.05,53.95
255.94,159.54,1122.62,1721.98,20.59,29.81,45.3
264.89,163.53,1174.99,1755.0,22.19,30.15,47.82
241.95,152.32,1089.61,1641.51,19.85,26.34,40.49
247.51,150.74,1090.64,1775.47,21.06,27.63,42.0
239.77,139.75,1059.94,1750.0,20.27,27.7,37.06
247.385,146.62,1088.22,1860.0,20.26,27.66,35.47
247.18,156.02,1130.9,1926.31,21.76,28.68,40.46
228.08,149.66,1056.37,1827.75,19.26,26.26,37.55
236.36,155.205,1103.98,1952.01,19.42,26.96,37.65
250.75,158.92,1124.58,1920.69,21.71,29.0,42.31
246.52,158.25,1114.72,1902.0,21.31,29.33,43.68
252.75,158.2,1127.47,1930.86,21.69,30.02,44.13
250.74,159.18,1132.64,1922.83,21.65,30.36,44.05
255.6,165.48,1148.73,1964.35,21.82,29.41,43.63
246.5,161.615,1124.0,1932.97,19.93,27.0197,39.14
240.34,159.1,1100.0,1901.64,19.65,26.47,38.36
242.8,157.15,1114.71,1911.15,20.4,27.0,39.0
250.9,160.15,1133.0,1936.0,21.03,27.41,39.8
270.8,171.79,1217.01,2017.11,22.8,30.75,44.74
262.74,171.25,1203.1,2021.0,22.41,29.34,42.85
268.7,175.9,1218.18,2044.3,24.07,31.12,46.94
268.31,173.67,1201.5,2040.0,24.78,33.22,47.5
280.0,178.9765,1239.97,2200.47,24.5,32.11,47.66
282.4,175.1865,1246.51,2257.68,22.16,28.77,43.37
287.38,177.95,1267.14,2346.0,22.15,28.28,42.71
284.69,179.2,1281.7,2372.33,22.34,28.15,43.15
277.95,177.41,1269.89,2389.95,22.57,27.325,43.395
276.28,175.25,1242.71,2416.61,21.9,26.9,42.35
273.61,178.45,1241.11,2369.0,22.16,27.5,43.0
275.87,184.08,1265.74,2399.98,21.96,26.95,42.65
277.2,183.23,1255.0,2417.0,22.11,26.8,43.0
281.8,192.99,1292.0,2443.2,22.52,27.37,44.17
285.08,188.66,1283.2,2372.1,24.45,29.6,48.94
284.73,190.93,1345.0,2330.01,24.91,30.1,49.7
289.96,206.92,1331.36,2419.84,24.21,29.32,49.07
286.25,201.6,1324.09,2336.8,23.38,28.5,46.31
289.17,200.2,1308.13,2256.38,22.7,26.96,45.03
295.06,207.02,1337.5,2340.0,23.48,27.52,46.3
300.46,208.12,1358.0,2329.44,23.0,26.46,44.49
303.22,211.16,1361.31,2374.78,22.66,25.59,43.52
305.64,212.24,1381.82,2372.14,23.47,25.64,45.32
308.1,210.8865,1376.79,2374.7,23.11,25.11,45.21
317.83,213.29,1408.22,2411.85,22.71,24.96,44.39
312.15,209.43,1376.16,2366.8,21.66,23.95,42.0
304.51,202.56,1333.52,2361.01,20.29,22.07,39.99
300.35,205.27,1348.26,2368.52,21.4,23.69,41.58
313.17,212.15,1361.58,2402.48,22.42,24.55,44.05
315.03,213.27,1385.48,2429.83,22.66,25.0,45.27
316.68,223.5,1389.16,2477.87,22.68,24.49,45.57
318.66,234.72,1410.99,2500.0,22.81,24.39,45.17
315.77,231.51,1403.9,2455.01,22.93,24.44,44.77
323.5,239.77,1441.96,2458.0,23.75,25.05,46.2
316.14,229.07,1420.0,2404.99,26.07,27.8,51.68
316.77,224.3,1400.0,2384.33,26.08,28.32,52.99
319.25,225.2,1420.43,2415.94,24.42,26.5,48.02
317.75,224.59,1425.7,2448.0,24.28,26.61,48.14
320.745,230.94,1435.0,2467.0,24.96,27.58,50.71
324.66,232.11,1442.7,2468.01,25.5,28.39,52.56
324.39,229.56,1436.78,2477.43,25.71,29.48,53.3
323.35,226.71,1415.64,2444.51,28.95,33.89,61.57
330.25,229.03,1426.28,2500.2,28.59,32.9,60.66
332.14,231.52,1445.24,2529.44,27.72,32.44,59.0
347.9,240.96,1461.51,2645.0,27.97,32.3,58.9
349.31,229.94,1441.03,2603.5,24.98,27.2,51.67
344.72,229.9,1425.86,2601.21,25.03,28.0,51.4
333.25,225.09,1389.49,2526.6,23.76,26.86,49.96
351.46,237.14,1449.0,2620.0,26.18,29.43,56.3
355.15,235.0,1452.94,2647.5,25.9,28.5,54.7
351.41,234.99,1449.85,2647.01,24.7,27.1,52.67
